=== -- [Q07] 주문 상세 내역(주문번호, 매장명, 메뉴명, 수량, 소계) 3개 테이블 결합 조회 (INNER JOIN) ===
[SQL]:
SELECT o.id AS order_id, s.name AS store_name, m.name AS menu_name, oi.quantity, oi.subtotal_price
FROM orders o
INNER JOIN store s ON o.store_id = s.id
INNER JOIN order_item oi ON o.id = oi.order_id
INNER JOIN menu m ON oi.menu_id = m.id;

[EXECUTION RESULT]:
order_id | store_name | menu_name | quantity | subtotal_price
-------------------------------------------------------------
1 | 성수 수제버거 | 클래식 치즈버거 | 1 | 8900
1 | 성수 수제버거 | 감자튀김 | 1 | 3500
2 | 성수 수제버거 | 아보카도 베이컨버거 | 2 | 23800
3 | 성수 수제버거 | 클래식 치즈버거 | 1 | 8900
3 | 성수 수제버거 | 감자튀김 | 1 | 3500
4 | 강남 델리 파스타 | 까르보나라 파스타 | 1 | 13900
4 | 강남 델리 파스타 | 청포도 에이드 | 1 | 4500
5 | 강남 델리 파스타 | 해산물 토마토 리조또 | 2 | 29800
6 | 강남 델리 파스타 | 까르보나라 파스타 | 1 | 13900
6 | 강남 델리 파스타 | 청포도 에이드 | 2 | 9000
7 | 홍대 덮밥 연구소 | 연어 덮밥 | 1 | 12500
7 | 홍대 덮밥 연구소 | 큐브 스테이크 덮밥 | 1 | 13500
8 | 홍대 덮밥 연구소 | 연어 덮밥 | 1 | 12500
9 | 이태원 멕시칸 타코 | 소고기 타코 | 1 | 9500
9 | 이태원 멕시칸 타코 | 퀘사디아 | 1 | 11000
10 | 이태원 멕시칸 타코 | 소고기 타코 | 2 | 19000
11 | 혜화 라멘 공방 | 돈코츠 라멘 | 1 | 9000
11 | 혜화 라멘 공방 | 차슈 추가 | 1 | 2500
12 | 혜화 라멘 공방 | 돈코츠 라멘 | 2 | 18000
13 | 여의도 스시 집 | 모둠 초밥 set | 2 | 36000
14 | 신촌 떡볶이 천국 | 로제 떡볶이 | 1 | 11000
15 | 성수 수제버거 | 아보카도 베이컨버거 | 1 | 11900
1 | 성수 수제버거 | 감자튀김 | 1 | 3500
4 | 강남 델리 파스타 | 청포도 에이드 | 1 | 4500
7 | 홍대 덮밥 연구소 | 연어 덮밥 | 1 | 12500
(Total rows: 25)
